Timestamp,OrderID,Asset,Action,Amount,Duration,Slope,PredictedProbability,Outcome,Profit
2025-06-04T20:22:00.604571,12709531469,EURUSD-OTC,call,1,1,-3.533333333335489e-05,0.45,loss,-1
2025-06-04T20:23:00.334773,12709538569,EURUSD-OTC,call,1,1,-6.672727272722881e-05,0.45,loss,-1
2025-06-04T20:24:00.844020,12709542055,EURUSD-OTC,call,1,1,-8.006060606058131e-05,0.45,loss,-1
2025-06-04T20:25:00.705664,12709545767,EURUSD-OTC,call,1,1,-8.115151515147218e-05,0.45,win,0.8500000000000001
2025-06-04T20:26:00.860416,12709549493,EURUSD-OTC,call,1,1,-6.527272727270105e-05,0.45,loss,-1
2025-06-04T20:29:00.823254,12709558579,EURUSD-OTC,call,1,1,-8.000000000018778e-06,0.45,loss,-1
2025-06-04T20:30:01.277386,12709563187,EURUSD-OTC,call,1,1,2.8060606060638875e-05,0.95,win,0.8500000000000001
2025-06-04T20:31:00.152157,12709566324,EURUSD-OTC,call,1.5,1,5.00606060606237e-05,0.95,loss,-1.5
2025-06-04T20:32:00.498476,12709569284,EURUSD-OTC,call,1,1,4.618181818180207e-05,0.95,win,0.8500000000000001
2025-06-04T20:33:00.323877,12709572453,EURUSD-OTC,call,1.5,1,4.642424242425302e-05,0.95,win,1.2799999999999998
2025-06-04T20:34:00.328642,12709575221,EURUSD-OTC,call,2.25,1,3.769696969696748e-05,0.95,loss,-2.25
2025-06-04T20:35:00.754328,12709578217,EURUSD-OTC,call,1,1,1.9696969697017107e-05,0.95,loss,-1
2025-06-04T20:36:00.313599,12709581232,EURUSD-OTC,call,1,1,8.909090909121272e-06,0.95,loss,-1
2025-06-04T20:48:00.447392,12709618509,EURUSD-OTC,call,1,1,2.6484848484801407e-05,0.95,win,0.8500000000000001
2025-06-04T20:49:00.692811,12709622325,EURUSD-OTC,call,1.5,1,4.078787878789314e-05,0.95,win,1.2799999999999998
